A1071GLY08ZH51,1019,98.84%,981,97.78%,80%,0,97.22%,DNR_DPMO
A14WRV9A8GC489,417,97.89%,2398,98.68%,100%,0,100%,DNR_DPMO
A1EGWK6LOU2WLB,758,95.11%,2639,90%,25%,0,92.36%,DNR_DPMO
A1F94HGSN6WOR4,340,98.27%,-,96.3%,100%,0,94.21%,DCR
A1IITZEV3NV89N,1059,99.25%,-,96.97%,100%,0,100%,DCR
A1N03L62LRQQQC,1485,99.26%,673,100%,92.73%,0,98.49%,DNR_DPMO
A1O32YWMWQARGU,592,98.18%,3378,98.39%,100%,0,96.26%,DNR_DPMO
A1PBO81VXPLBO,816,99.39%,1225,98.21%,100%,0,97.05%,DNR_DPMO
A1Q8DRDA2PF060,1288,98.55%,2329,98.72%,87.5%,0,97.85%,DNR_DPMO
A1RAG4OKSSP976,1225,99.51%,816,98.15%,100%,0,97.56%,DNR_DPMO
A1T3VIRARI8DBT,317,98.75%,3155,100%,0%,0,93.77%,DNR_DPMO
A1UAZKDWSGGRD5,1145,98.62%,-,100%,84.62%,0,98.11%,DCR
A1V4PBJ2L605VO,763,99.87%,3932,100%,100%,0,97.25%,DNR_DPMO
A1VUEJH4WMI52D,768,98.71%,1302,100%,89.66%,0,84.1%,DNR_DPMO
A20IR6H0OQT8CF,781,100%,1280,99.17%,75%,0,100%,DNR_DPMO
A230NJEC4V1YH0,1030,98.75%,-,97.78%,100%,0,100%,DCR
A27ISPJ60MOG8Q,1127,99.82%,-,97.87%,100%,0,98.24%,DCR
A27J6JHEI6J6TK,565,98.95%,0,94.12%,100%,0,92.44%,DCR
A287ENOYO37QS1,192,97.96%,-,100%,100%,0,100%,DCR
A2D0OY18TVXHFE,589,98.83%,5093,100%,100%,0,93.47%,DNR_DPMO
A2D1QQHQVQEVGJ,436,99.09%,6881,98.61%,100%,0,95.28%,DNR_DPMO
A2E7LGPCUH8V91,1010,99.31%,1980,93.9%,93.33%,0,86.16%,DNR_DPMO
A2FCULV7P322W7,1132,99.65%,-,100%,100%,0,94.13%,DEX
A2GGI8JRWMF1S8,905,99.34%,-,100%,100%,0,100%,DCR
A2IKVQ0ZYVPK6X,64,100%,-,100%,100%,0,-,-
A2KDV3C8VLDTRV,1073,99.54%,1864,100%,100%,0,94.93%,DNR_DPMO
A2KO95QJH2EKPA,1230,99.6%,813,100%,100%,0,95.12%,DNR_DPMO
A2MNTCGO1WW2HI,1373,99.42%,728,99.39%,100%,0,96.25%,DNR_DPMO
A2MYL9XUKAFICF,725,99.59%,-,100%,100%,0,100%,DCR
A2N0F4P42BY1P4,773,98.72%,-,100%,0%,0,100%,DCR
A2OK9PMIFS7III,256,99.22%,-,100%,85.71%,0,-,DCR
A2Q1KVCSIDW4AZ,627,96.31%,4785,100%,66.67%,0,96.3%,DNR_DPMO
A2RZJ960BCS8CN,1051,99.06%,1903,97.26%,75%,0,98.28%,DNR_DPMO
A2V4KSOMLHTT5Z,1024,99.13%,-,98.62%,100%,0,100%,DCR
A2WW8ZEGC4VEZP,662,99.85%,-,100%,100%,0,96.91%,DEX
A2ZD0BX89B68QC,1155,98.63%,3463,97.16%,69.23%,0,90.06%,DNR_DPMO
A2ZFOT759R1DQY,1161,99.4%,1723,100%,90.91%,0,88.72%,DNR_DPMO
A2ZG3ZK5P85TAT,1012,99.61%,2964,100%,100%,0,85.24%,DNR_DPMO
A2ZNPEKRHJ3IM4,681,99.71%,2937,96%,87.5%,0,96.83%,DNR_DPMO
A31KOOZONR3CT4,1318,98.65%,-,97.27%,83.33%,0,98.07%,CC
A340D2SXB98B76,173,97.19%,-,100%,100%,0,100%,DCR
A36JBK1UGSOT7V,1507,97.92%,1327,95.15%,100%,0,98.07%,DCR
A383I86ET7P69H,666,99.4%,3003,92.06%,100%,0,94.18%,DNR_DPMO
A3BXIR8QMK5GJ3,802,99.38%,2494,94.64%,100%,0,100%,DNR_DPMO
A3ECX7BOP0W6EA,185,97.37%,10811,100%,60%,0,85.29%,DNR_DPMO
A3G3UMDFFFP3AW,886,99.55%,2257,97.96%,100%,0,100%,DNR_DPMO
A3G6A8YJKAWWT,751,97.79%,1332,90%,87.5%,0,91.72%,DCR
A3K2S9TINST9X6,693,99.71%,1443,98.94%,0%,0,94.06%,DNR_DPMO
A3PC8LSXFCQRMS,236,99.58%,-,100%,100%,0,100%,DCR
A3R9VPN5LS32SY,669,99.85%,1495,100%,100%,0,100%,DNR_DPMO
A3RQ8347NYE8GP,778,99.36%,1285,98.33%,100%,0,95.58%,DNR_DPMO
A3TS150T39I4YN,656,100%,0,98.9%,100%,0,95.33%,POD
A7FME9BOQ1DRF,472,98.13%,6356,100%,90%,0,100%,DNR_DPMO
